^\{*([zZ][0-9]*|[pP][0-9]*).*$
CPY
DUP
FCPY
FDUP
FMOV
ABS
ADD
CNOT
MAD
MLA
MLS
MSB
MUL
NEG
SABD
SDIV
SDIVR
SMAX
SMIN
SMULH
SQADD
SQSUB
SUB
SUBR
SXTB
SXTH
SXTW
UABD
UDIV
UDIVR
UMAX
UMIN
UMULH
UQADD
UQSUB
UXTB
UXTH
UXTW
SDOT
UDOT
CMPEQ
CMPGE
CMPGT
CMPHI
CMPHS
CMPLE
CMPLO
CMPLS
CMPLT
CMPNE
ADDVL
ADDPL
ADR
RDVL
AND
DUPM
EON
MOV
ASR
ASRD
ASRR
CLS
CLZ
CNT
LSL
LSLR
LSR
LSRR
RBIT
FABD
FABS
FADD
FDIV
FDIVR
FMAX
FMAXNM
FMIN
FMINNM
FMULX
FNEG
FRECPE
FRECPS
FRECPX
FRSQRTE
FRSQRTS
FSCALE
FSQRT
FSUB
FSUBR
FNMLA
FNMLS
FMAD
FMSB
FNMAD
FNMSB
FCADD
FCMLA
FCVT
FCVTZS
FCVTZU
FRINTA
FRINTI
FRINTM
FRINTN
FRINTP
FRINTX
FRINTZ
SCVTF
UCVTF
FACGE
FACGT
FACLE
FACLT
FCMEQ
FCMGE
FCMGT
FCMLE
FCMLT
FCMNE
FCMUO
FTMAD
FTSMUL
FTSSEL
FEXPA
FMLA
FMLS
FMUL
PFALSE
PTRUE
PTRUES
SEL
MOVS
ANDS
BIC
BICS
EOR
EORS
NAND
NANDS
NOR
NORS
NOT
NOTS
ORN
ORNS
ORR
ORRS
PTEST
RDFFR
RDFFRS
SETFFR
WRFFR
CNTB
CNTH
CNTW
CNTD
CNTP
DECB
DECH
DECW
DECD
DECP
INCB
INCH
INCW
INCD
INCP
SQDECB
SQDECH
SQDECW
SQDECD
SQDECP
SQINCB
SQINCH
SQINCW
SQINCD
SQINCP
USDECB
UQDECH
UQDECW
UQDECD
UQDECP
UQINCB
UQINCH
UQINCW
UQINCD
UQINCP
WHILELE
WHILELO
WHILELS
WHILELT
BRKA
BRKAS
BRKB
BRKBS
BRKN
BRKNS
BRKPA
BRKPAS
BRKPB
BRKPBS
PFIRST
PNEXT
CTERMEQ
CTERMNE
CLASTA
CLASTB
LASTA
LASTB
COMPACT
SPLICE
TBL
EXT
INSR
REV
REVB
REVH
REVW
TRN1
TRN2
UZP1
UZP2
ZIP1
ZIP2
SUNPKHI
SUNPKLO
UUNPKHI
UUNPKLO
PUNPKHI
PUNPKLO
INDEX
MOVPRFX
ANDV
EORV
FADDA
FADDV
FMAXNMV
FMAXV
FMINNMV
FMINV
ORV
SADDV
SMAXV
SMINV
UADDV
UMASV
UMAXV
UMINV
LDNP
LDP
LDR
LDUR
STNP
STP
STR
STUR
LD1B
LD1H
LD1W
LD1D
LD1SB
LD1SH
LD1SW
LDFF1B
LDFF1H
LDFF1W
LDFF1D
LDFF1SB
LDFF1SH
LDFF1SW
LDNF1B
LDNF1H
LDNF1W
LDNF1D
LDNF1SB
LDNF1SH
LDNF1SH
LDNT1B
LDNT1H
LDNT1W
LDNT1D
PRFB
PRFH
PRFW
PRFD
ST1B
ST1H
ST1W
ST1D
STNT1B
STNT1H
STNT1W
STNT1D
LD2B
LD2H
LD2W
LD2D
LD3B
LD3H
LD3W
LD3D
LD4B
LD4H
LD4W
LD4D
ST2B
ST2H
ST2W
ST2D
ST3B
ST3H
ST3W
ST3D
ST4B
ST4H
ST4W
ST4D
LD1RB
LD1RH
LD1RW
LD1RD
LD1RSB
LD1RSH
LD1RSW
LD1RQB
LD1RQH
LD1RQW
LD1RQD
